"retire"	"year1"	"year2"	"year3"	"year5"	"year7"	"year10"	"year15"	"year20"
"45,000,000"	"15.60%"	"7.40%"	"5.20%"	"4.30%"	"3.80%"	"3.40%"	"2.80%"	"2.20%"
"50,000,000"	"8,156,500"	"3,969,900"	"2,692,800"	"2,207,700"	"1,966,310"	"1,735,800"	"1,451,970"	"1,188,000"
"50,000,000"	"16.30%"	"7.90%"	"5.40%"	"4.40%"	"3.90%"	"3.50%"	"2.90%"	"2.40%"
"60,000,000"	"10,654,600"	"5,269,000"	"3,484,800"	"2,722,500"	"2,447,170"	"2,191,200"	"1,847,970"	"1,584,000"
"60,000,000"	"17.80%"	"8.80%"	"5.80%"	"4.50%"	"4.10%"	"3.70%"	"3.10%"	"2.60%"
"70,000,000"	"13,162,600"	"6,919,000"	"4,613,400"	"3,237,300"	"2,928,030"	"2,646,600"	"2,243,970"	"1,980,000"
"70,000,000"	"18.80%"	"9.90%"	"6.60%"	"4.60%"	"4.20%"	"3.80%"	"3.20%"	"2.80%"
"80,000,000"	"15,670,600"	"8,569,000"	"5,801,400"	"3,762,000"	"3,408,900"	"3,102,000"	"2,666,370"	"2,376,000"
"80,000,000"	"19.60%"	"10.70%"	"7.30%"	"4.70%"	"4.30%"	"3.90%"	"3.30%"	"3.00%"
"90,000,000"	"18,178,600"	"10,219,000"	"7,001,500"	"4,395,600"	"3,889,740"	"3,557,400"	"3,101,970"	"2,772,000"
"90,000,000"	"20.20%"	"11.40%"	"7.80%"	"4.90%"	"4.30%"	"4.00%"	"3.40%"	"3.10%"
"100,000,000"	"20,686,600"	"11,869,000"	"8,431,500"	"5,029,200"	"4,370,600"	"4,012,800"	"3,537,570"	"3,168,000"
"100,000,000"	"20.70%"	"11.90%"	"8.40%"	"5.00%"	"4.40%"	"4.00%"	"3.50%"	"3.20%"
